OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
2825,Entertainment: Board Games,Medium,Multiple Choice,About how many Slinkys were sold in their first 60 years (from 1945 to 2005)?,300 Million,100 Million,450 Million,1 Billion
2826,Entertainment: Board Games,Hard,Multiple Choice,What is the sum of all the tiles in a standard box of Scrabble?,187,207,197,177
2827,General Knowledge,Hard,Multiple Choice,"Before the 19th Century, the ""Living Room"" was originally called the...",Parlor,Open Room,Sitting Room,Loft
2828,Entertainment: Music,Medium,Multiple Choice,"Who released the 1991 album ""Out of Time""?",R.E.M.,U2,Coldplay,The Rolling Stones
2829,Entertainment: Music,Medium,True / False,"""Twenty One Pilots"" made the song ""The Motion"" featuring Sampha.",False,True,,
2830,History,Easy,Multiple Choice,Who was the first president of the United States?,George Washington,James Madison,Thomas Jefferson,James K. Polk
2831,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In ""Shakugan no Shana"" what was the Shana usually referred as?",Flame-Haired Burning-Eyed Hunter,Flame Haze,Flame-Haired Burning-Eyed Haze,Shana
2832,Politics,Easy,True / False,"The S in Harry S. Truman stands for ""Samuel"".",False,True,,
2833,Geography,Easy,Multiple Choice,Where was the ancient city of Pompeii?,Italy,East Africa,South America,Pompilanus
2834,History,Medium,Multiple Choice,The creator of the Enigma Cypher and Machine was of what nationality?,German,American,British,Polish
2835,Entertainment: Video Games,Medium,Multiple Choice,When was Final Fantasy XV released?,"November 29th, 2016","October 25th, 2016","December 31th, 2016","November 30th, 2016"
2836,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,What was Ash Ketchum's second Pokemon?,Caterpie,Charmander,Pikachu,Pidgey
2837,Entertainment: Video Games,Hard,True / False,"In ""Portal 2"", Cave Johnson started out Aperture Science as a shower curtain company.",True,False,,
2838,Science: Computers,Medium,Multiple Choice,What is largely considered the precursor to the USB format?,PS/2,SVGA,PCIe,FireWire
2839,Entertainment: Television,Easy,Multiple Choice,"The ""Psycho"" series of videos on YouTube was created by which of the following?",RiDGiD STUDiOS,Dan Bell,Billy Familia,VeganGainz
2840,Entertainment: Video Games,Easy,True / False,"In Pokémon Sun and Moon, a male Salandit can evolve to a Salazzle.",False,True,,
2841,Sports,Medium,Multiple Choice,Which NBA player has the most games played over the course of their career?,Robert Parish,Kareem Abdul-Jabbar,Kevin Garnett,Kobe Bryant
2842,Entertainment: Video Games,Easy,Multiple Choice,What ingredient is NOT used to craft a cake in Minecraft?,Bread,Wheat,Milk,Egg
2843,History,Easy,Multiple Choice,Which of the following countries was not an axis power during World War II?, Soviet Union,Italy,Germany,Japan
2844,Mythology,Medium,Multiple Choice,"The Maori hold that which island nation was founded by Kupe, who discovered it under a long white cloud?",New Zealand,Vanuatu,Fiji,Hawaii
2845,Entertainment: Video Games,Medium,Multiple Choice,"In the Mass Effect trilogy, who is the main protagonist?",Shepard,Mordin,Garrus,Thane
2846,Geography,Hard,Multiple Choice,When does Finland celebrate their independence day?,December 6th,January 2nd,November 12th,February 8th
2847,Entertainment: Video Games,Medium,True / False,"In ""Super Mario World"", the rhino mini-boss, Reznor, is named after the lead singer of the band ""Nine Inch Nails"".",True,False,,
2848,Geography,Medium,True / False,Norway has a larger land area than Sweden.,False,True,,
2849,Entertainment: Musicals & Theatres,Medium,Multiple Choice,In which Shakespearean play will you find the suicide of Ophelia?,Hamlet,Macbeth,Othello,King Lear
2850,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In ""One Piece"", who is the girl who overcame her enslaved past and became an agent of an army to fight the corrupt government?",Koala,Boa Hancock,Nico Robin,Emporio Ivankov 
2851,Entertainment: Music,Medium,Multiple Choice,What is the real name of American rapper Pitbull?,Armando Christian Pérez,Ramón Luis Ayala Rodríguez,Benito Antonio Martinez Ocasio,Belcalis Marlenis Almánzar
2852,Science: Mathematics,Medium,Multiple Choice,"In the hexadecimal system, what number comes after 9?",The Letter A,10,The Number 0,16
2853,General Knowledge,Easy,Multiple Choice,What is the most frequently used letter in the english alphabet?,E,A,I,O
2854,Entertainment: Music,Medium,Multiple Choice,What is the name of the second studio album released by American rapper Post Malone in 2018?,Beerbongs & Bentleys,Takin' Shots,Rockstar,Better Now
2855,Politics,Medium,Multiple Choice,"Before 2011, ""True Capitalist Radio"" was known by a different name. What was that name?",True Conservative Radio,True Republican Radio,Texan Capitalist Radio,United Capitalists
2856,Entertainment: Cartoon & Animations,Easy,Multiple Choice,Which of these is NOT a Disney cartoon character?,Daffy Duck,Donald Duck,Daisy Duck,Scrooge McDuck
2857,Entertainment: Video Games,Medium,Multiple Choice, Which of these champions from the MOBA 'League of Legends' is NOT a Yordle?,Annie,Veigar,Tristana,Lulu
2858,Entertainment: Books,Hard,Multiple Choice,"In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?",Sarpadia,Otaria,Terisiare,Shiv
2859,Science: Computers,Hard,True / False,Apple was on the verge of bankruptcy in 1997 and was saved by Microsoft,True,False,,
2860,Entertainment: Television,Medium,Multiple Choice,"In the Sci-Fi television show Doctor Who, who plays the Tenth Doctor?",David Tennant,William Hartnell,Peter Capaldi,Peter Davison
2861,History,Easy,Multiple Choice,Which country was Josef Stalin born in?,Georgia,Russia,Germany,Poland
2862,Entertainment: Music,Easy,True / False,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",True,False,,
2863,Entertainment: Cartoon & Animations,Medium,Multiple Choice,"The stop motion comedy show ""Robot Chicken"" was created by which of the following?",Seth Green,Seth MacFarlane,Seth Rogen,Seth Rollins
2864,Science & Nature,Hard,True / False,Frederick Banting and John Macleod won a Nobel Prize for their contributions to the scientific fields of quantum mechanics.,False,True,,
2865,Entertainment: Film,Easy,True / False,George Lucas directed the entire original Star Wars trilogy.,False,True,,
2866,General Knowledge,Easy,Multiple Choice,"The New York Times slogan is, “All the News That’s Fit to…”",Print,Digest,Look,Read
2867,Geography,Medium,Multiple Choice,What is the capital of Ecuador?,Quito,Bogota,Santiago,Santa Fé
2868,History,Medium,Multiple Choice,"On which day did construction start on ""The Pentagon"", the headquarters for the United States Department of Defense?","September 11, 1941","June 15, 1947","January 15, 1943","September 2, 1962"
2869,Entertainment: Video Games,Easy,Multiple Choice,"In The Elder Scrolls: Oblivion, the horse that goes by the name Shadowmere is given by what guild?",Dark Brotherhood,Thieves,Fighters,Mages
2870,Entertainment: Music,Medium,Multiple Choice,"In what year was the smash hit song ""Scatman's World"" released?",1995,1996,1994,1993
2871,History,Easy,Multiple Choice,Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,Illyrians,Dorians,Achaeans,Ionians
2872,Entertainment: Cartoon & Animations,Medium,True / False,Blue Danube was one of the musical pieces featured in Disney's 1940's film Fantasia.,False,True,,
2873,Geography,Easy,True / False,San Marino is the only country completely surrounded by another country.,False,True,,
2874,Politics,Medium,Multiple Choice,"In United States history, how many vice presidents did Franklin D. Roosevelt have during his time in office as president?",3,1,2,0
2875,Entertainment: Comics,Easy,Multiple Choice,Who is Batman?,Bruce Wayne,Clark Kent,Barry Allen,Tony Stark
2876,Art,Easy,Multiple Choice,Who sculpted the statue of David?,Michelangelo,Gian Lorenzo Bernini,Auguste Rodin,Donatello
2877,Entertainment: Video Games,Hard,Multiple Choice,"In World of Warcraft, which raid instance features a chess event?",Karazhan,Zul'Aman,Blackwing Lair,Temple of Ahn'Qiraj
2878,Entertainment: Video Games,Hard,True / False,"In ""Call Of Duty: World At War"", the first appearance of the ""PPSH-41"" in ""Zombies"" was in the map ""Der Riese"".",False,True,,
2879,Science: Mathematics,Hard,True / False,"If you could fold a piece of paper in half 50 times, its' thickness will be 3/4th the distance from the Earth to the Sun.",True,False,,
2880,Geography,Easy,Multiple Choice,The country of Belize borders which country?,Guatemala,Laos,Perú,Kenya
2881,Politics,Easy,True / False,"Despite being seperated into multiple countries, The Scandinavian countries are unified by all having the same monarch.",False,True,,
2882,Science & Nature,Medium,Multiple Choice,Which psychological term refers to the stress of holding contrasting beliefs?,Cognitive Dissonance,Flip-Flop Syndrome,Split-Brain,Blind Sight
2883,Entertainment: Television,Medium,Multiple Choice,"In ""Star Trek"", what is the Klingon death ritual?",Look into sky and yell loudly in mourning.,Kiss the jagged forehead before burial.,Shoot into space in a torpedo casing.,Split the deceased's earnings between bloodkin.
2884,Entertainment: Television,Medium,Multiple Choice,"In the show ""The Office"" who does Michael Scott eventually end up with?",Holly Flax,Angela Martin,Jan Levinson,Pam Beesly
2885,Entertainment: Video Games,Hard,Multiple Choice,"Which team won the ""Tom Clancy's Rainbow Six Siege"" Invitational Event February 2017 in the PC Category?",Continuum,GIFU,Santos Dexterity,eRa Eternity
2886,General Knowledge,Easy,Multiple Choice,Who is the author of Jurassic Park?,Michael Crichton,Peter Benchley,Chuck Paluhniuk,Irvine Welsh
2887,Entertainment: Television,Medium,True / False,"The show ""Gilligan's Island"" was cancelled because of low ratings.",False,True,,
2888,Entertainment: Books,Medium,Multiple Choice,"The title of Adolf Hitler's autobiography ""Mein Kampf"" is what when translated to English?",My Struggle,My Hatred,My Sadness,My Desire
2889,Entertainment: Books,Medium,Multiple Choice,"The novel ""Of Mice And Men"" was written by what author? ",John Steinbeck ,George Orwell,Mark Twain ,Harper Lee
2890,Entertainment: Comics,Hard,Multiple Choice,"In the Homestuck Series, what is the alternate name for the Kingdom of Lights?",Prospit,No Name,Golden City,Yellow Moon
2891,Entertainment: Video Games,Medium,Multiple Choice,Who is the protagonist in Dead Rising 3?,Nick Ramos,Frank West,Chuck Greene,Isabela Keyes
2892,Vehicles,Medium,Multiple Choice,Which Japanese company is the world's largest manufacturer of motorcycles?,Honda,Yamaha,Suzuki,Kawasaki
2893,Entertainment: Video Games,Medium,Multiple Choice,What are the names of the Ice Climbers in the video game Ice Climber?,Popo and Nana,Popo and Nina,Papi and Nana,Papi and Nina
2894,Entertainment: Music,Easy,True / False,Muse is a British (English) rock band,True,False,,
2895,General Knowledge,Hard,Multiple Choice,"Which church's interior in Vatican City was designed in 1503 by renaissance architects including Bramante, Michelangelo and Bernini?",St. Peter's Basilica,Catania Cathedral,St. Mark’s Basilica,The Duomo of Florence
2896,Entertainment: Music,Easy,Multiple Choice,"""Grande Valse"" is a phrase from the song ""Gran Vals"". What is that song segment known as?",Nokia Tune,Hello Moto [Motorola Ringtone],Droid Ringtone,Microsoft Ringtone
2897,Sports,Hard,Multiple Choice,At which race was the 2018 F1 Drivers Championship won?,Mexico,United States,Belgium,Abu Dhabi
2898,General Knowledge,Medium,Multiple Choice,What does a milliner make and sell?,Hats,Shoes,Belts,Shirts
2899,History,Medium,Multiple Choice,In which year did the First World War begin?,1914,1930,1917,1939
2900,General Knowledge,Easy,True / False,The Great Wall of China is visible from the moon.,False,True,,
2901,Science: Computers,Medium,Multiple Choice,"Originally used in PCM adapters, what frequency is the standard for sampling audio in the Compact Disc Digital Audio format?",44.1 kHz,32.0 kHz,1.5 MHz,20.5 kHz
2902,Science: Gadgets,Easy,Multiple Choice,Which virtual assistant is developed by Amazon?,Alexa,Google Assistant,Siri,Cortana
2903,Entertainment: Video Games,Hard,Multiple Choice,"What is the real name of ""Warhead"" in the Sega Genesis game ""Vectorman""?",Raster,Peacehead,Vectorkid,Bitmap
2904,History,Easy,Multiple Choice,How was Socrates executed?,Poison,Decapitation,Firing squad,Crucifixion 
2905,Entertainment: Television,Hard,True / False,The Klingon home planet is Qo'noS.,True,False,,
2906,Entertainment: Video Games,Hard,Multiple Choice,Which variant of the MP5 is depicted in Counter-Strike 1.6?,MP5N,MP5SD,MP5K,MP5RAS
2907,Science: Computers,Medium,Multiple Choice,What is the main CPU is the Sega Mega Drive / Sega Genesis?,Motorola 68000,Zilog Z80,Yamaha YM2612,Intel 8088
2908,Science: Mathematics,Medium,True / False,The set of all algebraic numbers is countable.,True,False,,
2909,Entertainment: Video Games,Medium,Multiple Choice,Which one of these is NOT a character in the video game Overwatch,Garen,Reaper,Hana Song,Tracer
2910,Entertainment: Video Games,Medium,Multiple Choice,"In Star Wars: Republic Commando (2005), what is the name of the squad that you play as?",Delta Squad,Omega Squad,Echo Squad,Alpha Squad
2911,General Knowledge,Easy,Multiple Choice,The Canadian $1 coin is colloquially known as a what?,Loonie,Boolie,Foolie,Moodie
2912,General Knowledge,Medium,Multiple Choice,What was the soft drink Pepsi originally introduced as?,Brad's Drink,Pepsin Pop,Carolina Cola,Pepsin Syrup
2913,Entertainment: Video Games,Medium,True / False,"In the rules of the Danganronpa franchise, it states that a nighttime curfew for certain areas occurs between 12am and 8am.",False,True,,
2914,Geography,Medium,Multiple Choice,"Gibraltar, located just south of the Iberian peninsula, is a territory of which West Europe country?",United Kingdom,Spain,Portugal,France
2915,History,Easy,True / False,The United States was a member of the League of Nations.,False,True,,
2916,General Knowledge,Easy,Multiple Choice,What do sailors call the back of a boat?,Stern,Bow,Starboard,Port
2917,General Knowledge,Easy,Multiple Choice,What style of beer will typically have a higher than average hop content?,India Pale Ale,Stout,Extra Special Bitter,Scotch Ale
2918,Entertainment: Television,Easy,Multiple Choice,"What was the name of the police officer in the cartoon ""Top Cat""?",Dibble,Barbrady,Mahoney,Murphy
2919,Entertainment: Board Games,Hard,Multiple Choice,"When Magic: The Gathering was first solicited, which of the following was it originally titled?",Mana Clash,Magic,Magic Clash,Mana Duels
2920,Science: Computers,Easy,Multiple Choice,Which computer hardware device provides an interface for all other connected devices to communicate?,Motherboard,Central Processing Unit,Hard Disk Drive,Random Access Memory
2921,Entertainment: Film,Medium,True / False,"The movie ""The Rocky Horror Picture Show"" (1975) opens with giant floating lips singing the opening song",True,False,,
2922,Entertainment: Video Games,Medium,True / False,Nintendo started out as a playing card manufacturer.,True,False,,
2923,Entertainment: Books,Easy,Multiple Choice,"Who wrote ""The Scarlet Letter"", published in 1850?",Nathaniel Hawthorne,Washington Irving,James Fenimore Cooper,Catherine Maria Sedgwick
2924,Entertainment: Cartoon & Animations,Hard,Multiple Choice,"In ""Gravity Falls"", what does Quentin Trembley do when he is driven out from the White House?",Eat a salamander and jump out the window.,Leave in peace.,Jump out the window.,"Release 1,000 captive salamanders into the white house."
2925,Entertainment: Video Games,Medium,Multiple Choice,"In the beginning of the game ""Sonic Adventure"", what color Chaos Emerald does Tails own?",Purple,Red,Green,Blue
2926,Entertainment: Video Games,Medium,Multiple Choice,"In the Halo series, what fleet was Thel 'Vadam supreme commander of before being branded an Arbiter?",Fleet of Particular Justice,Fleet of Sacred Consecration,Fleet of Furious Redemption,Fleet of Righteous Vigilance
2927,Geography,Medium,Multiple Choice,Which country has three capital cities?,South Africa,Somalia,China,United Kingdom
2928,Entertainment: Video Games,Easy,Multiple Choice,What is the name of the talking cat in Persona 5?,Morgana,Teddie,Marie,Ryuji
2929,Science: Computers,Easy,True / False,Linus Torvalds created Linux and Git.,True,False,,
2930,Science: Mathematics,Medium,Multiple Choice,What shape does sin(x) or cos(x) make on a graph?,Waves,A Parabola,A Straight Line,Zig-Zags
2931,Entertainment: Television,Medium,Multiple Choice,What is the surname of the character Daryl in AMC's show The Walking Dead?,Dixon,Grimes,Dickinson,Dicketson
2932,Entertainment: Video Games,Medium,Multiple Choice,"Which of these is the only fighter in the game ""Super Smash Bros. Melee"" capable of dealing damage with their taunt animation?",Luigi,Mr. Game & Watch,Jigglypuff,Pichu
2933,Mythology,Medium,Multiple Choice,What is the name of the Greek god of peaceful deaths?,Thanatos,Tartarus,Hades,Moros
2934,Entertainment: Video Games,Hard,Multiple Choice,Which of the following games in the The Legend of Zelda franchise was released in Japan before North America?,The Legend of Zelda: The Minish Cap,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Spirit Tracks,The Legend of Zelda: Four Swords
2935,Entertainment: Board Games,Hard,Multiple Choice,"Which card is on the cover of the Beta rulebook of ""Magic: The Gathering""?",Bog Wraith,Island,Rock Hydra,Elvish Archers
2936,Science & Nature,Hard,Multiple Choice,Which of the following is considered classical conditioning?,Pavlov's dog experiments,Skinner box experiment,Schrödinger's cat experiment,Harlow’s monkey experiments
2937,General Knowledge,Easy,Multiple Choice,"What is ""dabbing""?",A dance,A medical procedure,A sport,A language
2938,Sports,Medium,Multiple Choice,Who was the topscorer for England national football team?,Wayne Rooney,David Beckham,Steven Gerrard,Michael Owen
2939,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"Which of these is not a world in the anime ""Buddyfight""?",Ancient Dragon World,Dragon World,Star Dragon World,Darkness Dragon World
2940,Entertainment: Books,Medium,Multiple Choice,"Which of the following was the author of ""Username Evie""?",Joe Sugg,Zoe Sugg,Joe Weller,Alfie Deyes
2941,Entertainment: Board Games,Easy,Multiple Choice,"In chess, which is a characteristic of the King's Gambit?",Sacrificing a pawn,Sacrificing the king for a queen,Castling kingside,Moving the king on the 2nd move
2942,Entertainment: Video Games,Easy,True / False,"Gordon Freeman, the protagonist of ""Half-Life"", is said to have once had a ponytail.",True,False,,
2943,Mythology,Medium,Multiple Choice,A minotaur is half human half what?,Bull,Cow,Horse,Eagle
2944,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In ""Highschool of the Dead"", where did Komuro and Saeko establish to meet after the bus explosion?",Eastern Police Station,The Center Mall,Komuro's House,On The Main Bridge
2945,Entertainment: Musicals & Theatres,Easy,Multiple Choice,What is Jean ValJean's first prisoner number?,24601,9430,1729,32769
2946,Entertainment: Film,Easy,Multiple Choice,Which movie released in 2016 features Superman and Batman fighting?,Batman v Superman: Dawn of Justice,Batman v Superman: Superapocalypse,Batman v Superman: Black of Knight,Batman v Superman: Knightfall
2947,Entertainment: Music,Hard,Multiple Choice,Which of these is Daft Punk's debut single?,The New Wave,Da Funk,Discovery,Around the World
2948,General Knowledge,Easy,Multiple Choice,"In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?",Key,Sword,Pen,Cellphone
2949,Entertainment: Music,Easy,Multiple Choice,"Which punk rock band released hit songs such as ""Californication"", ""Can't Stop"" and ""Under the Bridge""?",Red Hot Chilli Peppers,Green Day,Linkin Park,Foo Fighters
2950,General Knowledge,Hard,Multiple Choice,Electronic music producer Kygo's popularity skyrocketed after a certain remix. Which song did he remix?,Ed Sheeran - I See Fire,Marvin Gaye - Sexual Healing,Coldplay - Midnight,a-ha - Take On Me
2951,History,Easy,Multiple Choice,In what year did the Wall Street Crash take place?,1929,1932,1930,1925
2952,Entertainment: Music,Hard,Multiple Choice,Chino Moreno is the lead singer of which alternative metal band?,Deftones,Tool,Korn,Type O Negative
2953,Entertainment: Video Games,Medium,Multiple Choice,When was the Sega Genesis released in Japan?,"October 29, 1988","August 14, 1989","November 30, 1990","September 1, 1986"
2954,Geography,Easy,Multiple Choice,What is the official language in Liechtenstein?,German,French,English,Italian
2955,Entertainment: Cartoon & Animations,Medium,Multiple Choice,"In what year did the anime adaptation of ""March Comes In Like A Lion"" air?",2016,2017,2018,2015
2956,Science: Computers,Medium,Multiple Choice,What five letter word is the motto of the IBM Computer company?,Think,Click,Logic,Pixel
2957,History,Hard,Multiple Choice,"In the year 1900, what were the most popular first names given to boy and girl babies born in the United States?",John and Mary,Joseph and Catherine,William and Elizabeth,George and Anne
2958,Vehicles,Medium,True / False,Ferrari has never made a V10 engine for any of its cars.,False,True,,
2959,Science & Nature,Medium,Multiple Choice,"Where did the Great Storm of 1987 make landfall at, first?",Cornwall,Surrey,Wales,The Midlands
2960,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"In the ""Sailor Moon"" series, what is Sailor Jupiter's civilian name?",Makoto Kino,Minako Aino,Usagi Tsukino,Rei Hino
2961,Entertainment: Music,Medium,Multiple Choice,"""Drink the Sea"" is an album by which electronic music artist?",The Glitch Mob,Avicii,XXYYXX,Flux Pavilion
2962,General Knowledge,Medium,Multiple Choice,"What is a ""dakimakura""?",A body pillow,"A Chinese meal, essentially composed of fish",A yoga posture,A word used to describe two people who truly love each other
2963,Entertainment: Japanese Anime & Manga,Medium,Multiple Choice,"The character Momonga from the ""Overlord"" series orders his servants to call him by what name?",Ainz Ooal Gown,Master,Yggdrasil,Kugane Maruyama
2964,Entertainment: Video Games,Easy,Multiple Choice,What company develops the Rock Band series of rhythm games?,Harmonix,Activision,Konami,Electronic Arts
2965,Entertainment: Video Games,Medium,Multiple Choice,How many Chaos Emeralds can you collect in the first Sonic The Hedgehog?,Six,Seven,Five,Eight
2966,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In what year did the manga ""Ping Pong"" begin serialization?",1996,2014,2010,2003
2967,History,Medium,Multiple Choice,Which Greek god was the god of the Sun?,Helios,Zeus,Hades,Poseidon
2968,History,Hard,Multiple Choice,Where was Napoleon Bonaparte born?,Corsica,Normandy,Brittany,Paris
2969,History,Hard,Multiple Choice,When did Spanish Peninsular War start?,1808,1806,1810,1809
2970,Entertainment: Video Games,Medium,Multiple Choice,On which planet does the game Freedom Planet (2014) take place?,Avalice,Freedom,Galaxytrail,Shang Mu
2971,Entertainment: Cartoon & Animations,Medium,Multiple Choice,Who voiced Finn in Adventure Time?,Jeremy Shada,Nolan North,John DiMaggio,Tom Kenny
2972,Science: Computers,Medium,True / False,"To bypass US Munitions Export Laws, the creator of the PGP published all the source code in book form. ",True,False,,
2973,General Knowledge,Easy,Multiple Choice,What do sailors call the left side of a boat?,Port,Starboard,Bow,Stern
2974,Entertainment: Video Games,Medium,Multiple Choice,"Which of these stages is not playable in ""Super Smash Bros. for Wii U""?",Fountain of Dreams,Bridge of Eldin,75m,Miiverse
2975,Entertainment: Video Games,Medium,Multiple Choice,"Who voices the character ""Vernon Cherry"" in ""Red Dead Redemption""?",Casey Mongillo,Tara Strong,Troy Baker,Rob Wiethoff
2976,Entertainment: Video Games,Easy,True / False,"In ""Sonic Adventure"", you are able to transform into Super Sonic at will after completing the main story.",False,True,,
2977,History,Easy,Multiple Choice,Abolitionist John Brown raided the arsenal in which Virginia Town?,Harper's Ferry,Richmond,Harrisonburg,Martinsburg
2978,Entertainment: Film,Hard,Multiple Choice,"In the film ""Harry Potter and the Order of The Phoenix"", why was Harry Potter's scream, after Sirius Black died, muted?",Too Agonizing,Too Loud,Too Harsh,Too Violent
2979,Geography,Easy,Multiple Choice,Which UK country features a dragon on their flag?,Wales,England,North Ireland,Scotland
2980,Entertainment: Music,Medium,Multiple Choice,"Who had a US and UK number 1 hit in 1962 with the instrumental, 'Telstar'?",The Tornados,The Ventures,The Spotnicks,The Tremeloes
2981,Celebrities,Hard,True / False,Lady Gaga's real name is Stefani Joanne Angelina Germanotta.,True,False,,
2982,Science & Nature,Medium,Multiple Choice,"In Psychology, which need appears highest in the ""Maslow's hierarchy of needs"" pyramid?",Esteem,Love,Safety,Physiological
2983,Entertainment: Comics,Medium,Multiple Choice,What otherworldly land does Thor come from?,Asgard,Midgard,Jotunheim,Sovengarde
2984,History,Medium,Multiple Choice,Who was the first Chancellor of a united Germany in 1871? ,Otto Von Bismark,Kaiser Wilhelm ,Fredrick the 2nd,Robert Koch
2985,Celebrities,Easy,Multiple Choice,By what name is Carlos Estevez better known? ,Charlie Sheen,Ricky Martin,Bruno Mars,Joaquin Phoenix
2986,Science: Gadgets,Easy,True / False,"Microphones can be used not only to pick up sound, but also to project sound similar to a speaker.",True,False,,
2987,Science: Mathematics,Medium,Multiple Choice,What is the first Mersenne prime exponent over 1000?,1279,2203,1009,1069
2988,Entertainment: Music,Easy,Multiple Choice,Brian May was the guitarist for which band?,Queen,Pink Floyd,Rolling Stones,The Doors
2989,History,Hard,True / False,The Kingdom of Prussia briefly held land in Estonia.,False,True,,
2990,Science: Computers,Hard,Multiple Choice,What type of sound chip does the Super Nintendo Entertainment System (SNES) have?,ADPCM Sampler,FM Synthesizer,Programmable Sound Generator (PSG),PCM Sampler
2991,Science & Nature,Hard,Multiple Choice,What is isobutylphenylpropanoic acid more commonly known as?,Ibuprofen,Morphine,Ketamine,Aspirin
2992,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,Who is the horror manga artist who made Uzumaki?,Junji Ito,Kazuo Umezu,Shintaro Kago,Sui Ishida
2993,Entertainment: Music,Easy,Multiple Choice,Which song is NOT by singer Tom Jones?,Never Gonna Give You Up,It's Not Unusual,What's New Pussycat,Delilah
2994,Entertainment: Musicals & Theatres,Hard,Multiple Choice,"In Les Misérables, who is Prison Code 24601?",Jean Valjean,Marius Pontmercy,Javert,Jean Claude Van Damme
2995,Science: Mathematics,Medium,True / False,"You can square root a negative number with an imaginary number ""i"".",True,False,,
2996,General Knowledge,Medium,Multiple Choice,Which essential condiment is also known as Japanese horseradish?,Wasabi ,Mentsuyu,Karashi,Ponzu
2997,Entertainment: Video Games,Hard,Multiple Choice,How many copies of the notorious E.T. game for the Atari 2600 did Atari end up selling?,1.5 Million,1 Million,250 Thousand,Less than 250 Thousand
2998,Entertainment: Video Games,Hard,Multiple Choice,"In the game ""Super Hang-On"" which is the top speed WITH the use of turbo?",324 km/h,320 km/h,280 km/h,286 km/h
2999,Entertainment: Cartoon & Animations,Easy,Multiple Choice,"In The Simpsons, which war did Seymour Skinner serve in the USA Army as a Green Beret?",Vietnam War,World War 2,World War 1,Cold War
3000,Science & Nature,Easy,True / False,A plant that has a life cycle for more than a year is known as an annual.,False,True,,
3001,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,"In ""The Melancholy of Haruhi Suzumiya"" series, the SOS Brigade club leader is unknowingly treated as a(n) __ by her peers.",God,Alien,Time Traveler,Esper
3002,Entertainment: Cartoon & Animations,Hard,Multiple Choice,"What town was ""Springfield"" from ""The Simpsons"" originally named after?","Springfield, Oregon","Springfield, Missouri","Springfield, Illinois","Springfield, Massachusetts"
3003,Entertainment: Video Games,Medium,Multiple Choice,"In the Half-Life universe, the Black Mesa Research Facility is located in which US state?",New Mexico,Nevada,Arizona,Wyoming
3004,Entertainment: Books,Hard,Multiple Choice,What is the name of the town in which Lily and James Potter are buried?,Godric's Hollow,Hogsmeade,Ottery St. Catchpole,Little Hangleton
3005,Entertainment: Video Games,Easy,Multiple Choice,Which of the following is not a faction in Tom Clancy's The Division?,CDC,Cleaners,Last Man Batallion,Rikers
3006,Sports,Medium,Multiple Choice,Who was the first footballer to score 200 goals in the English Premier League?,Alan Shearer,Wayne Rooney,Robbie Fowler,Thierry Henry
3007,Science & Nature,Hard,Multiple Choice,How many protons are in an oxygen atom?,Eight,Four,Two,Six
3008,Entertainment: Video Games,Medium,Multiple Choice,"Which German city does the map ""Clubhouse"" in ""Tom Clancy's Rainbow Six Siege"" take place in?",Hannover,Berlin,Hamburg,Munich
3009,Entertainment: Video Games,Hard,Multiple Choice,Which of these weapon classes DO NOT appear in the first Monster Hunter game?,Bow ,Hammer,Heavy Bowgun,Light Bowgun
3010,Entertainment: Video Games,Easy,Multiple Choice,"When was ""Luigi's Mansion 3"" released?","October 31st, 2019","January 13th, 2019","September 6th, 2018","October 1st, 2019"
3011,Science & Nature,Easy,Multiple Choice,Who discovered the Law of Gravity?,Sir Isaac Newton,Galileo Galilei,Charles Darwin,Albert Einstein
3012,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In the anime, ""Hunter X Hunter"", what is the main protagonist's name?",Gon,Gin,Gan,Gen
3013,Entertainment: Music,Medium,Multiple Choice,"The song ""Feel Good Inc."" by British band Gorillaz features which hip hop group?",De La Soul,Public Enemy,OutKast,Cypress Hill
3014,Science & Nature,Easy,True / False,Upwelling in the ocean provides colder nutrient rich water for plants and decomposers.,True,False,,
3015,Entertainment: Video Games,Medium,Multiple Choice,Which one of these characters was first introduced in Sonic Boom: Rise of Lyric?,Sticks the Badger,Mighty the Armadillo,Espio the Chameleon,Rouge the Bat
